,Schedule No.,Constituency_x,2020 District,2011 District,Lok Ac,Turnout [4],Winner,Party,Margin,Party_abbrv
118,119,Kavundampalayam,Coimbatore,Coimbatore,Coimbatore,63.86,P.R. Natarajan,Communist Party of India (Marxist),176918,CPIM
119,120,Coimbatore North,Coimbatore,Coimbatore,Coimbatore,63.86,P.R. Natarajan,Communist Party of India (Marxist),176918,CPIM
120,121,Thondamuthur,Coimbatore,Coimbatore,Pollachi,71.15,K. Shamugasundaram,Dravida Munnetra Kazhagam,173359,DMK
121,122,Coimbatore (South),Coimbatore,Coimbatore,Coimbatore,63.86,P.R. Natarajan,Communist Party of India (Marxist),176918,CPIM
122,123,Singanallur,Coimbatore,Coimbatore,Coimbatore,63.86,P.R. Natarajan,Communist Party of India (Marxist),176918,CPIM
123,124,Kinathukadavu,Coimbatore,Coimbatore,Pollachi,71.15,K. Shamugasundaram,Dravida Munnetra Kazhagam,173359,DMK
124,125,Pollachi,Coimbatore,Coimbatore,Pollachi,71.15,K. Shamugasundaram,Dravida Munnetra Kazhagam,173359,DMK
125,126,Valparai,Coimbatore,Coimbatore,Pollachi,71.15,K. Shamugasundaram,Dravida Munnetra Kazhagam,173359,DMK
126,127,Palani,Dindigul,Dindigul,Dindigul,75.29,P. Veluchamy,Dravida Munnetra Kazhagam,538972,DMK
127,128,Oddanchatram,Dindigul,Dindigul,Dindigul,75.29,P. Veluchamy,Dravida Munnetra Kazhagam,538972,DMK
128,129,Athoor,Dindigul,Dindigul,Dindigul,75.29,P. Veluchamy,Dravida Munnetra Kazhagam,538972,DMK
129,130,Nilakottai,Dindigul,Dindigul,Dindigul,75.29,P. Veluchamy,Dravida Munnetra Kazhagam,538972,DMK
130,131,Natham,Dindigul,Dindigul,Dindigul,75.29,P. Veluchamy,Dravida Munnetra Kazhagam,538972,DMK
131,132,Dindigul,Dindigul,Dindigul,Dindigul,75.29,P. Veluchamy,Dravida Munnetra Kazhagam,538972,DMK
132,133,Vedasandur,Dindigul,Dindigul,Karur,79.55,S.Jothimani,Indian National Congress,420546,IND
133,134,Aravakurichi,Karur,Karur,Karur,79.55,S.Jothimani,Indian National Congress,420546,IND
134,135,Karur,Karur,Karur,Karur,79.55,S.Jothimani,Indian National Congress,420546,IND
135,136,Krishnarayapuram,Karur,Karur,Karur,79.55,S.Jothimani,Indian National Congress,420546,IND
136,137,Kulithalai,Karur,Karur,Perambalur,79.26,T. R. Paarivendhar,Dravida Munnetra Kazhagam,403518,DMK
137,138,Manapaarai,Tiruchirappalli,Tiruchirappalli,Karur,79.55,S.Jothimani,Indian National Congress,420546,IND
138,139,Srirangam,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,69.5,Su. Thirunavukkarasar,Indian National Congress,459286,IND
139,140,Tiruchirappalli (West),Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,69.5,Su. Thirunavukkarasar,Indian National Congress,459286,IND
140,141,Tiruchirappalli (East),Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,69.5,Su. Thirunavukkarasar,Indian National Congress,459286,IND
141,142,Thiruverumbur,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,69.5,Su. Thirunavukkarasar,Indian National Congress,459286,IND
142,143,Lalgudi,Tiruchirappalli,Tiruchirappalli,Perambalur,79.26,T. R. Paarivendhar,Dravida Munnetra Kazhagam,403518,DMK
143,144,Manachanallur,Tiruchirappalli,Tiruchirappalli,Perambalur,79.26,T. R. Paarivendhar,Dravida Munnetra Kazhagam,403518,DMK
144,145,Musiri,Tiruchirappalli,Tiruchirappalli,Perambalur,79.26,T. R. Paarivendhar,Dravida Munnetra Kazhagam,403518,DMK
145,146,Thuraiyur,Tiruchirappalli,Tiruchirappalli,Perambalur,79.26,T. R. Paarivendhar,Dravida Munnetra Kazhagam,403518,DMK
146,147,Perambalur,Perambalur,Perambalur,Perambalur,79.26,T. R. Paarivendhar,Dravida Munnetra Kazhagam,403518,DMK
147,148,Kunnam,Perambalur,Perambalur,Chidambaram,77.98,Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,3219,VCK
148,149,Ariyalur,Ariyalur,Ariyalur,Chidambaram,77.98,Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,3219,VCK
149,150,Jayankondam,Ariyalur,Ariyalur,Chidambaram,77.98,Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,3219,VCK
150,151,Tittakudi,Cuddalore,Cuddalore,Cuddalore,76.49,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,143983,DMK
151,152,Vriddhachalam,Cuddalore,Cuddalore,Cuddalore,76.49,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,143983,DMK
152,153,Neyveli,Cuddalore,Cuddalore,Cuddalore,76.49,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,143983,DMK
153,154,Panruti,Cuddalore,Cuddalore,Cuddalore,76.49,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,143983,DMK
154,155,Cuddalore,Cuddalore,Cuddalore,Cuddalore,76.49,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,143983,DMK
155,156,Kurinjipadi,Cuddalore,Cuddalore,Cuddalore,76.49,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,143983,DMK
156,157,Bhuvanagiri,Cuddalore,Cuddalore,Chidambaram,77.98,Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,3219,VCK
157,158,Chidambaram,Cuddalore,Cuddalore,Chidambaram,77.98,Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,3219,VCK
158,159,Kattumannarkoil,Cuddalore,Cuddalore,Chidambaram,77.98,Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,3219,VCK
159,160,Sirkazhi,Nagapattinam,Nagapattinam,Mayiladuthurai,73.93,S. Ramalingam,Dravida Munnetra Kazhagam,261314,DMK
160,161,Mayiladuthurai,Nagapattinam,Nagapattinam,Mayiladuthurai,73.93,S. Ramalingam,Dravida Munnetra Kazhagam,261314,DMK
161,162,Poompuhar,Nagapattinam,Nagapattinam,Mayiladuthurai,73.93,S. Ramalingam,Dravida Munnetra Kazhagam,261314,DMK
162,163,Nagapattinam,Nagapattinam,Nagapattinam,Nagapattinam,76.93,M. Selvarasu,Communist Party of India,209349,CPI
163,164,Kilvelur,Nagapattinam,Nagapattinam,Nagapattinam,76.93,M. Selvarasu,Communist Party of India,209349,CPI
164,165,Vedaranyam,Nagapattinam,Nagapattinam,Nagapattinam,76.93,M. Selvarasu,Communist Party of India,209349,CPI
